State,City,Avg Rent,Foot Traffic,Avg Income,Competitor Count,Growth Index,Category,Detailed Idea,Investors
Rajasthan,Jodhpur,98699,37987,145305,40,4.13,Fintech,AI-driven financial advisory platform,Matrix Partners
Tamil Nadu,Madurai,74486,2785,113356,6,9.63,Edtech,Gamified learning platform for kids,Tiger Global
Rajasthan,Jaipur,56536,4137,48969,21,8.11,SaaS,Cloud-based HR management software,Accel Partners
Maharashtra,Nagpur,36622,25213,77854,46,2.29,Real Estate,AI-powered property valuation tool,Tiger Global
Madhya Pradesh,Indore,58061,24127,91846,8,8.29,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Karnataka,Bangalore,44073,38515,46864,11,2.01,E-commerce,Online marketplace for niche products,SoftBank
Uttar Pradesh,Noida,70726,16140,151080,13,5.82,SaaS,Cloud-based HR management software,Blume Ventures
Karnataka,Bangalore,59525,31468,165826,30,6.68,Fintech,AI-driven financial advisory platform,Matrix Partners
Karnataka,Mysore,26541,41968,73485,31,4.81,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Uttar Pradesh,Noida,70023,13637,176710,3,5.0,Edtech,Gamified learning platform for kids,General Catalyst
Maharashtra,Nagpur,66670,49041,76276,34,2.33,Healthcare,Telemedicine platform with AI diagnosis,Elevation Capital
Uttar Pradesh,Lucknow,47805,1945,155662,46,4.95,Edtech,Gamified learning platform for kids,General Catalyst
Uttar Pradesh,Lucknow,30053,26442,133727,48,3.62,Healthcare,Telemedicine platform with AI diagnosis,Lightspeed Ventures
Gujarat,Vadodara,88384,11787,38265,1,1.46,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Telangana,Hyderabad,59101,10693,108437,6,6.68,Healthcare,Telemedicine platform with AI diagnosis,Lightspeed Ventures
Tamil Nadu,Coimbatore,34249,21060,116943,2,3.88,Logistics,Last-mile delivery optimization software,Tiger Global
Karnataka,Bangalore,67807,21609,61307,5,5.77,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
West Bengal,Kolkata,67915,36964,59849,16,4.26,FoodTech,Subscription-based organic meal plans,SoftBank
Madhya Pradesh,Indore,88951,24840,93571,4,6.93,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Rajasthan,Jodhpur,84749,19768,175864,37,4.2,Fintech,AI-driven financial advisory platform,Lightspeed Ventures
Madhya Pradesh,Bhopal,90558,5263,44805,10,3.93,FoodTech,Subscription-based organic meal plans,Tiger Global
Rajasthan,Jaipur,63693,7767,185045,40,9.53,Logistics,Last-mile delivery optimization software,SoftBank
Karnataka,Hubli,60941,6184,61230,18,8.85,Real Estate,AI-powered property valuation tool,Accel Partners
Madhya Pradesh,Indore,75880,45971,168976,42,5.85,E-commerce,Online marketplace for niche products,Blume Ventures
Madhya Pradesh,Bhopal,27730,24155,141329,5,2.09,FoodTech,Subscription-based organic meal plans,General Catalyst
Gujarat,Surat,89349,10868,189713,19,9.74,Logistics,Last-mile delivery optimization software,General Catalyst
Delhi,New Delhi,97214,1937,107772,50,9.43,Fintech,AI-driven financial advisory platform,Tiger Global
Madhya Pradesh,Indore,39686,32633,104147,3,1.45,FoodTech,Subscription-based organic meal plans,Sequoia Capital
Telangana,Warangal,85867,14403,111315,12,2.08,Renewable Energy,Solar panel efficiency optimizer,Blume Ventures
Uttar Pradesh,Lucknow,11576,11246,187910,48,6.81,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
West Bengal,Kolkata,13211,43201,117237,11,7.68,SaaS,Cloud-based HR management software,Y Combinator
Karnataka,Mysore,23218,17123,55445,5,9.17,Fintech,AI-driven financial advisory platform,Sequoia Capital
Uttar Pradesh,Kanpur,20470,39188,87826,26,3.82,Logistics,Last-mile delivery optimization software,Tiger Global
Tamil Nadu,Madurai,85518,12941,80131,27,9.44,Renewable Energy,Solar panel efficiency optimizer,Blume Ventures
West Bengal,Howrah,96580,38662,27303,23,1.43,Logistics,Last-mile delivery optimization software,SoftBank
Tamil Nadu,Madurai,69848,22009,198214,15,8.51,Real Estate,AI-powered property valuation tool,Blume Ventures
Gujarat,Vadodara,41808,21073,184770,42,5.85,Edtech,Gamified learning platform for kids,Accel Partners
Gujarat,Surat,22335,47134,42374,36,3.83,FoodTech,Subscription-based organic meal plans,Tiger Global
Madhya Pradesh,Bhopal,65606,13970,144833,16,9.42,Healthcare,Telemedicine platform with AI diagnosis,SoftBank
Maharashtra,Pune,23094,25843,125609,28,1.05,Edtech,Gamified learning platform for kids,Elevation Capital
Karnataka,Hubli,57720,4846,24084,46,5.74,SaaS,Cloud-based HR management software,Y Combinator
Telangana,Hyderabad,46334,14629,66475,9,2.79,Healthcare,Telemedicine platform with AI diagnosis,Blume Ventures
Maharashtra,Nagpur,89688,29821,87487,32,2.83,Edtech,Gamified learning platform for kids,Accel Partners
Tamil Nadu,Chennai,29102,17331,71936,22,3.15,FoodTech,Subscription-based organic meal plans,Accel Partners
Maharashtra,Mumbai,68860,49691,35842,32,8.07,Renewable Energy,Solar panel efficiency optimizer,Accel Partners
West Bengal,Howrah,10651,37914,197602,12,9.86,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Telangana,Warangal,24464,24855,45882,44,8.32,FoodTech,Subscription-based organic meal plans,Y Combinator
Tamil Nadu,Coimbatore,98801,24311,49907,4,1.18,SaaS,Cloud-based HR management software,Accel Partners
Delhi,New Delhi,46403,2890,126870,26,8.57,Renewable Energy,Solar panel efficiency optimizer,Elevation Capital
Rajasthan,Jodhpur,99952,49780,172008,25,6.89,Real Estate,AI-powered property valuation tool,Sequoia Capital
Telangana,Hyderabad,47117,48663,115097,26,3.55,Renewable Energy,Solar panel efficiency optimizer,Accel Partners
Karnataka,Mysore,15393,24537,31184,17,5.82,AI/ML,Predictive analytics for businesses,Y Combinator
Telangana,Warangal,29148,46419,184317,5,7.37,Fintech,AI-driven financial advisory platform,Lightspeed Ventures
Rajasthan,Jodhpur,37186,7994,131005,39,2.82,Logistics,Last-mile delivery optimization software,Sequoia Capital
Maharashtra,Nagpur,42806,17513,36433,14,5.75,Logistics,Last-mile delivery optimization software,Accel Partners
Gujarat,Surat,77815,29030,87836,50,7.5,E-commerce,Online marketplace for niche products,Y Combinator
West Bengal,Kolkata,10743,31766,128789,42,5.94,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
Gujarat,Surat,40585,1027,142277,22,9.44,E-commerce,Online marketplace for niche products,SoftBank
Telangana,Warangal,71114,1911,143362,45,2.69,Logistics,Last-mile delivery optimization software,Elevation Capital
Karnataka,Hubli,34824,30964,110278,15,6.49,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
Rajasthan,Jodhpur,35845,47097,59220,35,5.62,Logistics,Last-mile delivery optimization software,Y Combinator
Gujarat,Surat,30601,16619,124756,41,2.19,E-commerce,Online marketplace for niche products,Matrix Partners
Karnataka,Mysore,53992,11380,174700,36,1.33,Logistics,Last-mile delivery optimization software,Elevation Capital
West Bengal,Kolkata,60692,21209,170759,50,9.5,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
Gujarat,Surat,91359,2370,183745,7,5.04,AI/ML,Predictive analytics for businesses,Elevation Capital
Delhi,New Delhi,28859,12246,161609,35,5.66,Real Estate,AI-powered property valuation tool,Matrix Partners
Telangana,Warangal,14031,25868,61412,4,3.12,SaaS,Cloud-based HR management software,SoftBank
Uttar Pradesh,Lucknow,31762,43712,84825,34,8.73,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Uttar Pradesh,Kanpur,55658,10542,137416,43,2.72,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Maharashtra,Mumbai,32532,48109,20755,40,5.88,Logistics,Last-mile delivery optimization software,Accel Partners
Karnataka,Bangalore,58770,34866,93595,42,4.76,Real Estate,AI-powered property valuation tool,Matrix Partners
Uttar Pradesh,Kanpur,60156,6910,138415,36,2.11,Logistics,Last-mile delivery optimization software,Sequoia Capital
West Bengal,Howrah,42719,10151,47858,37,4.98,SaaS,Cloud-based HR management software,Tiger Global
Rajasthan,Jaipur,16229,7912,184136,1,3.71,Edtech,Gamified learning platform for kids,Blume Ventures
Karnataka,Bangalore,20844,28005,103070,34,6.56,Edtech,Gamified learning platform for kids,Lightspeed Ventures
Karnataka,Mysore,24511,17423,25164,2,5.27,Edtech,Gamified learning platform for kids,Tiger Global
Maharashtra,Nagpur,40209,23585,81373,19,9.99,FoodTech,Subscription-based organic meal plans,Matrix Partners
Tamil Nadu,Coimbatore,97004,27251,166801,49,6.27,SaaS,Cloud-based HR management software,Matrix Partners
Gujarat,Surat,18188,30113,100075,30,3.28,Edtech,Gamified learning platform for kids,Accel Partners
Tamil Nadu,Coimbatore,11961,34108,147938,24,1.6,E-commerce,Online marketplace for niche products,SoftBank
Rajasthan,Jaipur,55242,35883,121299,42,2.51,Logistics,Last-mile delivery optimization software,Y Combinator
West Bengal,Howrah,22774,43356,106683,7,9.33,SaaS,Cloud-based HR management software,Blume Ventures
Tamil Nadu,Madurai,95983,21015,87833,20,1.26,E-commerce,Online marketplace for niche products,Lightspeed Ventures
Telangana,Warangal,30993,20866,115756,3,9.4,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
Uttar Pradesh,Kanpur,60555,6202,160843,32,5.52,E-commerce,Online marketplace for niche products,Tiger Global
Rajasthan,Udaipur,50608,43874,24709,14,6.62,AI/ML,Predictive analytics for businesses,Accel Partners
Madhya Pradesh,Bhopal,24202,21314,132686,46,2.88,Real Estate,AI-powered property valuation tool,Sequoia Capital
Tamil Nadu,Madurai,63545,1822,25305,40,2.18,Edtech,Gamified learning platform for kids,Accel Partners
Delhi,New Delhi,54088,46252,168638,15,7.34,Renewable Energy,Solar panel efficiency optimizer,Accel Partners
Delhi,New Delhi,63072,38492,152099,39,5.03,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Uttar Pradesh,Kanpur,27753,29787,119728,40,7.06,SaaS,Cloud-based HR management software,Lightspeed Ventures
Delhi,New Delhi,57889,45683,22441,44,9.29,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Karnataka,Hubli,55114,27190,116718,21,5.96,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
West Bengal,Howrah,24728,42889,139785,12,4.61,Edtech,Gamified learning platform for kids,Blume Ventures
West Bengal,Kolkata,79303,24551,39488,12,2.34,Real Estate,AI-powered property valuation tool,SoftBank
Uttar Pradesh,Kanpur,29118,34517,161268,21,7.08,Fintech,AI-driven financial advisory platform,Blume Ventures
Madhya Pradesh,Bhopal,49231,3979,83303,31,5.51,Healthcare,Telemedicine platform with AI diagnosis,Lightspeed Ventures
Madhya Pradesh,Indore,73476,33746,103969,29,4.92,Logistics,Last-mile delivery optimization software,Sequoia Capital
Madhya Pradesh,Indore,28348,8790,135665,23,4.88,E-commerce,Online marketplace for niche products,General Catalyst
Madhya Pradesh,Bhopal,96613,27432,25542,38,8.76,E-commerce,Online marketplace for niche products,Y Combinator
Delhi,New Delhi,26663,39574,134648,32,6.51,FoodTech,Subscription-based organic meal plans,SoftBank
Karnataka,Bangalore,29977,22805,20623,50,4.51,FoodTech,Subscription-based organic meal plans,SoftBank
Karnataka,Mysore,87025,16750,196133,42,7.64,Logistics,Last-mile delivery optimization software,Sequoia Capital
Gujarat,Ahmedabad,68368,44165,126159,36,1.26,Healthcare,Telemedicine platform with AI diagnosis,Blume Ventures
West Bengal,Kolkata,50031,33175,153870,14,2.55,AI/ML,Predictive analytics for businesses,Y Combinator
Telangana,Warangal,23623,3537,132757,15,5.08,E-commerce,Online marketplace for niche products,General Catalyst
Gujarat,Surat,79014,47647,170806,4,4.2,Fintech,AI-driven financial advisory platform,SoftBank
Tamil Nadu,Madurai,58717,40699,121231,28,9.98,Healthcare,Telemedicine platform with AI diagnosis,Sequoia Capital
Telangana,Hyderabad,65656,14064,158113,10,1.49,Fintech,AI-driven financial advisory platform,Matrix Partners
West Bengal,Kolkata,61378,41634,96954,47,3.83,Real Estate,AI-powered property valuation tool,General Catalyst
Telangana,Warangal,39630,38160,119170,21,5.66,Logistics,Last-mile delivery optimization software,Lightspeed Ventures
Tamil Nadu,Madurai,40877,48558,20689,4,1.54,Renewable Energy,Solar panel efficiency optimizer,Matrix Partners
Uttar Pradesh,Lucknow,59315,11233,75236,20,1.15,E-commerce,Online marketplace for niche products,Sequoia Capital
Gujarat,Ahmedabad,65878,37955,42309,24,8.42,Edtech,Gamified learning platform for kids,General Catalyst
Delhi,New Delhi,37351,2394,174239,30,8.71,Edtech,Gamified learning platform for kids,Y Combinator
Karnataka,Hubli,75602,46430,94265,12,8.93,Fintech,AI-driven financial advisory platform,Tiger Global
Telangana,Hyderabad,28643,43400,167989,48,6.86,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Delhi,New Delhi,17670,32738,99764,40,3.48,Fintech,AI-driven financial advisory platform,Tiger Global
Maharashtra,Pune,30000,23924,30622,30,9.94,FoodTech,Subscription-based organic meal plans,Sequoia Capital
Telangana,Hyderabad,51672,1235,31207,19,4.64,Logistics,Last-mile delivery optimization software,Elevation Capital
Rajasthan,Udaipur,84749,32037,131798,6,3.05,Edtech,Gamified learning platform for kids,Elevation Capital
Gujarat,Surat,57091,10968,112398,50,1.72,Real Estate,AI-powered property valuation tool,Accel Partners
Rajasthan,Jaipur,26968,1281,127928,14,2.3,Fintech,AI-driven financial advisory platform,Lightspeed Ventures
Delhi,New Delhi,29713,9509,148200,6,5.67,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Maharashtra,Mumbai,93992,41714,165814,26,7.8,Fintech,AI-driven financial advisory platform,Y Combinator
West Bengal,Howrah,78122,32494,166084,23,8.56,FoodTech,Subscription-based organic meal plans,Y Combinator
Madhya Pradesh,Indore,54132,9851,30783,34,4.64,FoodTech,Subscription-based organic meal plans,Y Combinator
Telangana,Warangal,16168,35322,180058,34,5.59,Edtech,Gamified learning platform for kids,Sequoia Capital
Delhi,New Delhi,38476,20170,70548,35,6.75,FoodTech,Subscription-based organic meal plans,General Catalyst
West Bengal,Howrah,72123,6223,185321,13,3.76,Edtech,Gamified learning platform for kids,Lightspeed Ventures
Tamil Nadu,Coimbatore,37709,42788,70968,11,4.5,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Karnataka,Mysore,89507,6611,110517,23,4.55,AI/ML,Predictive analytics for businesses,General Catalyst
Tamil Nadu,Coimbatore,79255,39860,88633,50,3.52,Logistics,Last-mile delivery optimization software,Elevation Capital
Tamil Nadu,Chennai,86667,25294,124562,31,4.85,Edtech,Gamified learning platform for kids,Y Combinator
Rajasthan,Jodhpur,77036,42982,35667,22,5.5,SaaS,Cloud-based HR management software,Accel Partners
West Bengal,Howrah,56826,25701,20011,3,5.43,E-commerce,Online marketplace for niche products,Accel Partners
Rajasthan,Udaipur,12292,45688,21791,33,4.79,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Maharashtra,Mumbai,64460,33149,41239,7,6.42,AI/ML,Predictive analytics for businesses,SoftBank
Delhi,New Delhi,26583,39207,75030,1,3.39,Healthcare,Telemedicine platform with AI diagnosis,SoftBank
Uttar Pradesh,Kanpur,17584,5138,34185,29,6.42,AI/ML,Predictive analytics for businesses,Blume Ventures
Karnataka,Mysore,72959,32809,188516,45,9.18,SaaS,Cloud-based HR management software,Tiger Global
Maharashtra,Pune,32135,9020,174695,47,4.01,Logistics,Last-mile delivery optimization software,SoftBank
Tamil Nadu,Coimbatore,76182,48455,35690,15,1.14,Edtech,Gamified learning platform for kids,SoftBank
Maharashtra,Mumbai,94283,35936,154145,35,2.95,Fintech,AI-driven financial advisory platform,Y Combinator
West Bengal,Kolkata,16524,38925,164569,19,7.86,E-commerce,Online marketplace for niche products,Tiger Global
Rajasthan,Udaipur,90622,41679,133570,17,6.62,Healthcare,Telemedicine platform with AI diagnosis,Elevation Capital
Gujarat,Ahmedabad,27955,45065,137693,1,8.52,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
Gujarat,Vadodara,11115,5471,66177,8,6.6,SaaS,Cloud-based HR management software,Elevation Capital
Rajasthan,Jodhpur,25155,10132,64850,50,3.76,Fintech,AI-driven financial advisory platform,Blume Ventures
West Bengal,Howrah,70697,19475,78165,31,1.62,SaaS,Cloud-based HR management software,Sequoia Capital
Rajasthan,Udaipur,16431,47862,153009,36,8.26,Real Estate,AI-powered property valuation tool,Sequoia Capital
Delhi,New Delhi,55458,43261,54144,17,1.32,Healthcare,Telemedicine platform with AI diagnosis,Sequoia Capital
Telangana,Warangal,75622,2835,40783,27,7.74,Logistics,Last-mile delivery optimization software,Tiger Global
Madhya Pradesh,Bhopal,28991,43783,119873,28,8.57,Fintech,AI-driven financial advisory platform,Lightspeed Ventures
Uttar Pradesh,Noida,95703,18769,147066,37,1.42,FoodTech,Subscription-based organic meal plans,Accel Partners
West Bengal,Kolkata,75233,24152,172172,41,8.32,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
Telangana,Warangal,89441,5453,124070,36,5.08,Real Estate,AI-powered property valuation tool,Sequoia Capital
Maharashtra,Mumbai,17823,14689,79126,7,9.66,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
Madhya Pradesh,Indore,16295,34867,77425,30,2.52,AI/ML,Predictive analytics for businesses,SoftBank
Gujarat,Ahmedabad,44001,3744,158340,47,8.61,AI/ML,Predictive analytics for businesses,Y Combinator
Uttar Pradesh,Lucknow,73613,9717,128324,24,4.39,Fintech,AI-driven financial advisory platform,SoftBank
Maharashtra,Mumbai,10092,32755,137055,48,1.1,E-commerce,Online marketplace for niche products,Tiger Global
West Bengal,Kolkata,58563,28206,73483,48,5.97,SaaS,Cloud-based HR management software,Sequoia Capital
Telangana,Hyderabad,33538,7611,45242,18,8.11,Logistics,Last-mile delivery optimization software,Elevation Capital
Tamil Nadu,Madurai,50368,28482,156947,18,6.23,Renewable Energy,Solar panel efficiency optimizer,Accel Partners
Rajasthan,Jodhpur,18972,45174,64895,45,3.06,Fintech,AI-driven financial advisory platform,General Catalyst
West Bengal,Kolkata,16126,38795,80306,25,6.42,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Tamil Nadu,Coimbatore,96111,43423,64066,45,2.37,E-commerce,Online marketplace for niche products,Blume Ventures
Rajasthan,Jodhpur,18777,36841,147654,2,3.22,AI/ML,Predictive analytics for businesses,Sequoia Capital
Gujarat,Ahmedabad,34277,12231,115814,30,6.28,Healthcare,Telemedicine platform with AI diagnosis,Matrix Partners
Karnataka,Hubli,59528,23602,102607,30,1.77,Logistics,Last-mile delivery optimization software,Tiger Global
Madhya Pradesh,Indore,51463,12581,37922,16,8.98,Fintech,AI-driven financial advisory platform,Sequoia Capital
Delhi,New Delhi,32722,10489,186962,40,5.7,E-commerce,Online marketplace for niche products,SoftBank
Rajasthan,Jodhpur,76521,16730,149977,37,9.94,AI/ML,Predictive analytics for businesses,Sequoia Capital
Rajasthan,Jaipur,18262,13167,105162,21,8.79,Logistics,Last-mile delivery optimization software,Elevation Capital
West Bengal,Howrah,71291,28962,24641,23,8.15,E-commerce,Online marketplace for niche products,General Catalyst
Karnataka,Hubli,37499,16054,97380,4,3.95,Logistics,Last-mile delivery optimization software,Tiger Global
Maharashtra,Pune,14171,46269,99922,24,4.82,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Karnataka,Bangalore,49610,35859,168736,39,8.07,Logistics,Last-mile delivery optimization software,Elevation Capital
Maharashtra,Pune,73386,38075,119809,3,7.23,FoodTech,Subscription-based organic meal plans,General Catalyst
Rajasthan,Jodhpur,72436,46683,45299,38,3.75,Edtech,Gamified learning platform for kids,SoftBank
Madhya Pradesh,Bhopal,46839,37472,80424,13,3.14,Logistics,Last-mile delivery optimization software,Tiger Global
Uttar Pradesh,Lucknow,85685,45913,37741,3,8.35,Fintech,AI-driven financial advisory platform,Tiger Global
Delhi,New Delhi,33172,33660,156406,46,1.1,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Uttar Pradesh,Noida,88238,10956,141052,43,8.67,Real Estate,AI-powered property valuation tool,Accel Partners
West Bengal,Kolkata,19834,38117,123820,13,1.14,Edtech,Gamified learning platform for kids,SoftBank
West Bengal,Howrah,42951,36947,50299,24,1.55,Healthcare,Telemedicine platform with AI diagnosis,Accel Partners
Karnataka,Bangalore,83292,6883,177021,6,9.84,Fintech,AI-driven financial advisory platform,Tiger Global
Telangana,Warangal,24609,19461,85997,48,1.65,E-commerce,Online marketplace for niche products,Accel Partners
Karnataka,Hubli,13553,15529,66965,14,8.42,Edtech,Gamified learning platform for kids,Accel Partners
Delhi,New Delhi,91050,36198,34241,14,9.88,FoodTech,Subscription-based organic meal plans,Lightspeed Ventures
Maharashtra,Mumbai,47255,10167,78841,27,5.48,Fintech,AI-driven financial advisory platform,Lightspeed Ventures
Gujarat,Ahmedabad,50016,16062,108511,48,4.64,Healthcare,Telemedicine platform with AI diagnosis,Blume Ventures
Karnataka,Hubli,83397,23549,95931,16,4.96,E-commerce,Online marketplace for niche products,SoftBank
Uttar Pradesh,Kanpur,53575,20182,110626,20,4.24,AI/ML,Predictive analytics for businesses,Elevation Capital
Rajasthan,Jodhpur,15602,36539,113106,27,2.38,Edtech,Gamified learning platform for kids,Matrix Partners
Delhi,New Delhi,82760,47924,44246,8,3.48,E-commerce,Online marketplace for niche products,Y Combinator
Gujarat,Ahmedabad,46140,3933,199483,1,7.85,Logistics,Last-mile delivery optimization software,Lightspeed Ventures
Madhya Pradesh,Indore,54097,48234,45646,17,9.31,Edtech,Gamified learning platform for kids,Matrix Partners
West Bengal,Howrah,90439,8202,152652,32,4.89,Real Estate,AI-powered property valuation tool,Sequoia Capital
Delhi,New Delhi,63843,24440,32789,28,7.19,Real Estate,AI-powered property valuation tool,Accel Partners
West Bengal,Howrah,34684,43679,80097,15,9.7,Real Estate,AI-powered property valuation tool,SoftBank
West Bengal,Howrah,30088,9895,175054,33,2.55,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
Rajasthan,Jodhpur,28971,15248,179510,48,6.8,Edtech,Gamified learning platform for kids,Accel Partners
Telangana,Warangal,10134,31316,83910,41,4.34,AI/ML,Predictive analytics for businesses,Blume Ventures
Maharashtra,Pune,55095,31595,140272,43,4.39,SaaS,Cloud-based HR management software,Lightspeed Ventures
Uttar Pradesh,Lucknow,49100,37983,56692,18,3.37,Healthcare,Telemedicine platform with AI diagnosis,Lightspeed Ventures
Uttar Pradesh,Lucknow,58724,12284,172001,24,1.21,Real Estate,AI-powered property valuation tool,Blume Ventures
Gujarat,Vadodara,26017,46499,36917,49,9.93,AI/ML,Predictive analytics for businesses,Sequoia Capital
Tamil Nadu,Madurai,90724,28013,144226,40,6.15,SaaS,Cloud-based HR management software,Tiger Global
Tamil Nadu,Coimbatore,12319,9431,72758,28,8.4,Renewable Energy,Solar panel efficiency optimizer,Y Combinator
Uttar Pradesh,Kanpur,15531,44757,157868,17,6.69,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
West Bengal,Howrah,27293,37362,121390,19,8.82,SaaS,Cloud-based HR management software,General Catalyst
Karnataka,Mysore,47189,41372,164990,49,6.19,Fintech,AI-driven financial advisory platform,Accel Partners
Delhi,New Delhi,56871,12232,98454,24,9.5,SaaS,Cloud-based HR management software,Lightspeed Ventures
Uttar Pradesh,Lucknow,38042,31259,66396,21,2.37,AI/ML,Predictive analytics for businesses,Elevation Capital
Delhi,New Delhi,18546,3259,131161,49,1.27,SaaS,Cloud-based HR management software,Y Combinator
West Bengal,Howrah,51893,15245,170017,44,2.48,Renewable Energy,Solar panel efficiency optimizer,Elevation Capital
Maharashtra,Nagpur,50270,5381,58705,44,8.7,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
Gujarat,Ahmedabad,95672,4572,96726,14,5.58,AI/ML,Predictive analytics for businesses,Blume Ventures
Tamil Nadu,Madurai,63901,27133,92605,35,7.18,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Delhi,New Delhi,58295,9181,61294,14,1.19,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Gujarat,Ahmedabad,33760,23848,38565,13,6.5,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
Gujarat,Vadodara,60341,47757,46149,25,9.09,Logistics,Last-mile delivery optimization software,Elevation Capital
West Bengal,Howrah,69060,8087,93661,42,7.71,E-commerce,Online marketplace for niche products,Lightspeed Ventures
Karnataka,Hubli,19131,23832,170923,12,6.61,Edtech,Gamified learning platform for kids,SoftBank
West Bengal,Kolkata,29252,19121,94862,13,5.43,SaaS,Cloud-based HR management software,Accel Partners
West Bengal,Howrah,85847,9771,69719,30,9.81,Healthcare,Telemedicine platform with AI diagnosis,Matrix Partners
Maharashtra,Mumbai,42578,32350,132333,48,5.9,SaaS,Cloud-based HR management software,Lightspeed Ventures
Delhi,New Delhi,58944,36133,192009,6,1.9,E-commerce,Online marketplace for niche products,Elevation Capital
Madhya Pradesh,Bhopal,51725,30448,144976,29,3.05,Healthcare,Telemedicine platform with AI diagnosis,Sequoia Capital
Tamil Nadu,Coimbatore,68520,43347,179851,11,6.53,Edtech,Gamified learning platform for kids,Sequoia Capital
Madhya Pradesh,Indore,78636,47556,98611,24,9.99,E-commerce,Online marketplace for niche products,Tiger Global
West Bengal,Howrah,32738,33493,25162,23,4.46,Healthcare,Telemedicine platform with AI diagnosis,General Catalyst
Uttar Pradesh,Lucknow,39398,43895,147900,13,7.54,AI/ML,Predictive analytics for businesses,Tiger Global
West Bengal,Howrah,80050,7224,85954,50,3.51,FoodTech,Subscription-based organic meal plans,General Catalyst
West Bengal,Kolkata,58439,25337,188244,38,2.09,E-commerce,Online marketplace for niche products,Blume Ventures
Madhya Pradesh,Bhopal,40788,18161,54424,3,9.68,Fintech,AI-driven financial advisory platform,Matrix Partners
Uttar Pradesh,Noida,63780,20244,111315,7,5.55,Edtech,Gamified learning platform for kids,General Catalyst
Delhi,New Delhi,90003,12218,55030,13,9.1,SaaS,Cloud-based HR management software,General Catalyst
Delhi,New Delhi,36603,1065,161623,36,8.02,AI/ML,Predictive analytics for businesses,Matrix Partners
Rajasthan,Jaipur,43622,36900,103230,7,5.05,Healthcare,Telemedicine platform with AI diagnosis,Matrix Partners
Madhya Pradesh,Bhopal,13523,41475,190934,47,6.48,Renewable Energy,Solar panel efficiency optimizer,Sequoia Capital
Uttar Pradesh,Lucknow,11633,42975,112805,5,3.38,FoodTech,Subscription-based organic meal plans,Sequoia Capital
Madhya Pradesh,Indore,37089,8194,47187,30,6.07,Real Estate,AI-powered property valuation tool,Sequoia Capital
Gujarat,Ahmedabad,89538,45239,36970,25,9.14,Renewable Energy,Solar panel efficiency optimizer,Tiger Global
Delhi,New Delhi,38922,27175,40789,16,5.89,AI/ML,Predictive analytics for businesses,Lightspeed Ventures
Telangana,Hyderabad,60331,6647,198189,24,1.94,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
Telangana,Hyderabad,77454,45957,87080,41,2.69,Fintech,AI-driven financial advisory platform,General Catalyst
Delhi,New Delhi,71965,34026,102885,31,9.16,Renewable Energy,Solar panel efficiency optimizer,Accel Partners
Uttar Pradesh,Kanpur,76585,11719,75424,40,8.28,FoodTech,Subscription-based organic meal plans,General Catalyst
Karnataka,Hubli,29034,34504,196142,38,1.45,Fintech,AI-driven financial advisory platform,Y Combinator
Karnataka,Mysore,55333,49161,24565,49,5.55,SaaS,Cloud-based HR management software,Blume Ventures
Karnataka,Hubli,73002,15099,42151,23,5.14,Renewable Energy,Solar panel efficiency optimizer,General Catalyst
West Bengal,Howrah,13021,12795,97348,1,7.86,Logistics,Last-mile delivery optimization software,Lightspeed Ventures
Rajasthan,Udaipur,62583,45653,64210,20,3.38,Healthcare,Telemedicine platform with AI diagnosis,Y Combinator
West Bengal,Kolkata,31734,24304,22108,23,7.57,Healthcare,Telemedicine platform with AI diagnosis,Tiger Global
